用户ID,微博数,转发数,评论数,点赞数,积极数,消极数,平均转发,平均评论,平均点赞,积极转发数,积极评论数,积极点赞数,消极转发数,消极评论数,消极点赞数
鍋盖頭司令,5,591,1054,47055,1,4,118.20 ,210.80 ,9411.00 ,328,293,642,263,761,46413
机智的何先生,5,34342,43846,90085,5,0,6868.40 ,8769.20 ,18017.00 ,34342,43846,90085,0,0,0
诸葛齉齉,5,1674,2214,8970,3,2,334.80 ,442.80 ,1794.00 ,1637,2023,5230,37,191,3740
互联网的那点事,5,1197,8386,63028,5,0,239.40 ,1677.20 ,12605.60 ,1197,8386,63028,0,0,0
八组兔区播报,5,6514,8233,11840,5,0,1302.80 ,1646.60 ,2368.00 ,6514,8233,11840,0,0,0
卢克文,5,265,1454,7410,2,2,53.00 ,290.80 ,1482.00 ,161,945,4692,90,388,1993
赵明-George,5,891,2285,38046,5,0,178.20 ,457.00 ,7609.20 ,891,2285,38046,0,0,0
闪飞,5,583,3491,19704,2,3,116.60 ,698.20 ,3940.80 ,108,620,5420,475,2871,14284
高程CASS,5,227,744,2540,2,2,45.40 ,148.80 ,508.00 ,31,115,774,185,476,1541
百盛説,5,975,1301,15015,4,1,195.00 ,260.20 ,3003.00 ,824,898,12008,151,403,3007
科技时辰,5,452,4799,19602,2,2,90.40 ,959.80 ,3920.40 ,244,2328,11998,131,1618,4864
张小波,4,431,1422,1397,0,4,107.75 ,355.50 ,349.25 ,0,0,0,431,1422,1397
摄影师_奥利奥爸爸,4,6247,6541,11889,4,0,1561.75 ,1635.25 ,2972.25 ,6247,6541,11889,0,0,0
热门搞笑排行榜,4,1640,1417,2981,3,0,410.00 ,354.25 ,745.25 ,1116,1202,2041,0,0,0
最奇趣的视频,4,561,1443,31767,1,2,140.25 ,360.75 ,7941.75 ,124,271,3395,407,1104,14844
TechWeb,4,165,1154,823,3,1,41.25 ,288.50 ,205.75 ,127,737,577,38,417,246
时尚芭莎,4,1304,580,2770,4,0,326.00 ,145.00 ,692.50 ,1304,580,2770,0,0,0
何凯文,4,904,1199,15562,3,1,226.00 ,299.75 ,3890.50 ,877,1066,14123,27,133,1439
创业邦杂志,4,344,154,243,3,1,86.00 ,38.50 ,60.75 ,288,20,60,56,134,183
宇哥考研,4,34678,19578,28021,2,2,8669.50 ,4894.50 ,7005.25 ,27261,13883,12673,7417,5695,15348
FashionCover,4,6269,7653,11600,3,0,1567.25 ,1913.25 ,2900.00 ,4843,6115,9534,0,0,0
扬子晚报,4,118,112,4672,4,0,29.50 ,28.00 ,1168.00 ,118,112,4672,0,0,0
这里是美国,4,1813,687,4865,3,1,453.25 ,171.75 ,1216.25 ,1483,512,4216,330,175,649
王随机,4,441,694,1417,1,3,110.25 ,173.50 ,354.25 ,40,177,306,401,517,1111
新浪资讯台,4,254,106,779,1,2,63.50 ,26.50 ,194.75 ,118,41,622,95,40,105
AI财经社,4,2916,4030,11125,3,1,729.00 ,1007.50 ,2781.25 ,2841,3993,11106,75,37,19
北京大土豆,4,660,2001,6253,3,1,165.00 ,500.25 ,1563.25 ,306,1688,5423,354,313,830
英国报姐,4,3740,2665,4335,4,0,935.00 ,666.25 ,1083.75 ,3740,2665,4335,0,0,0
烊是的念来过倒,4,6385,2541,16095,4,0,1596.25 ,635.25 ,4023.75 ,6385,2541,16095,0,0,0
岳东晓博士,4,946,948,6769,3,0,236.50 ,237.00 ,1692.25 ,207,533,6367,0,0,0
梅新育,4,297,3,1331,2,2,74.25 ,0.75 ,332.75 ,104,1,328,193,2,1003
王小东,4,384,209,596,2,1,96.00 ,52.25 ,149.00 ,126,91,455,44,16,31
首席内幕官,4,1226,2118,5253,1,3,306.50 ,529.50 ,1313.25 ,533,602,1562,693,1516,3691
数学汤家凤,4,67,1146,8609,4,0,16.75 ,286.50 ,2152.25 ,67,1146,8609,0,0,0
王潮歌,4,53,195,1190,3,1,13.25 ,48.75 ,297.50 ,46,117,874,7,78,316
贰手艺术家,4,173,1877,3329,2,0,43.25 ,469.25 ,832.25 ,78,778,1171,0,0,0
豆豆说,4,610,876,1594,3,1,152.50 ,219.00 ,398.50 ,473,594,1072,137,282,522
王育琨,4,421,99,213,3,1,105.25 ,24.75 ,53.25 ,220,76,166,201,23,47
我亲爱的拥有和虚无,4,517,527,5399,4,0,129.25 ,131.75 ,1349.75 ,517,527,5399,0,0,0
国资小新,4,388,610,4171,1,3,97.00 ,152.50 ,1042.75 ,46,85,108,342,525,4063
见闻企业家,4,793,208,486,4,0,198.25 ,52.00 ,121.50 ,793,208,486,0,0,0
克里斯托夫-金,4,312,425,433,3,1,78.00 ,106.25 ,108.25 ,228,218,287,84,207,146
新民周刊,4,925,2687,3913,3,1,231.25 ,671.75 ,978.25 ,248,143,1883,677,2544,2030
数字热DGHOT,4,62,1243,1394,0,4,15.50 ,310.75 ,348.50 ,0,0,0,62,1243,1394
都市快报,4,3390,3797,1840,1,3,847.50 ,949.25 ,460.00 ,3350,3695,1556,40,102,284
制杖妹,4,216,1518,65159,3,1,54.00 ,379.50 ,16289.75 ,195,1500,64592,21,18,567
波咕鸡,4,249,310,3710,3,1,62.25 ,77.50 ,927.50 ,244,224,289,5,86,3421
赶着脚走,4,282,259,582,4,0,70.50 ,64.75 ,145.50 ,282,259,582,0,0,0
李小龙Bruce_Lee,4,623,1441,5620,4,0,155.75 ,360.25 ,1405.00 ,623,1441,5620,0,0,0
追风少年刘全有,4,6228,3774,9111,4,0,1557.00 ,943.50 ,2277.75 ,6228,3774,9111,0,0,0
Xiao1u,4,700,1379,3197,1,1,175.00 ,344.75 ,799.25 ,81,154,117,113,311,829
散户小韭菜,4,723,612,2144,2,1,180.75 ,153.00 ,536.00 ,485,389,1080,162,116,458
证券时报网,4,264,415,21530,2,2,66.00 ,103.75 ,5382.50 ,180,159,17351,84,256,4179
老蒋政治-蒋中挺,4,2639,997,11608,3,0,659.75 ,249.25 ,2902.00 ,2541,923,10784,0,0,0
看看新闻KNEWS,4,528,6628,48458,4,0,132.00 ,1657.00 ,12114.50 ,528,6628,48458,0,0,0
数码先生,4,4058,499,1937,4,0,1014.50 ,124.75 ,484.25 ,4058,499,1937,0,0,0
爱否科技官方,4,3653,8855,4884,4,0,913.25 ,2213.75 ,1221.00 ,3653,8855,4884,0,0,0
中国反邪教,4,439,431,44053,2,2,109.75 ,107.75 ,11013.25 ,189,140,17702,250,291,26351
苍南派,4,2292,2379,7942,3,1,573.00 ,594.75 ,1985.50 ,1806,1744,5626,486,635,2316
来去之间,4,6003,573,20786,2,2,1500.75 ,143.25 ,5196.50 ,5727,440,19580,276,133,1206
时间视频,4,408,2609,18267,3,0,102.00 ,652.25 ,4566.75 ,358,2410,17909,0,0,0
菜尾蝗-旅行摄影,4,296,383,590,4,0,74.00 ,95.75 ,147.50 ,296,383,590,0,0,0
全球热搞笑榜,4,6625,2771,69337,4,0,1656.25 ,692.75 ,17334.25 ,6625,2771,69337,0,0,0
局座召忠,4,8020,10095,65684,4,0,2005.00 ,2523.75 ,16421.00 ,8020,10095,65684,0,0,0
郎咸平,4,1763,0,14115,1,0,440.75 ,0.00 ,3528.75 ,651,0,3432,0,0,0
北京晚报,4,221,148,777,3,1,55.25 ,37.00 ,194.25 ,190,117,557,31,31,220
清南师兄,4,2929,120,1642,4,0,732.25 ,30.00 ,410.50 ,2929,120,1642,0,0,0
巍岳钦禹,4,450,1709,103038,2,2,112.50 ,427.25 ,25759.50 ,141,716,98771,309,993,4267
老高电商圈子,4,1047,2120,9675,0,4,261.75 ,530.00 ,2418.75 ,0,0,0,1047,2120,9675
HHP良,4,599,3583,14597,0,1,149.75 ,895.75 ,3649.25 ,0,0,0,14,323,568
成都发布,4,147,420,22483,3,1,36.75 ,105.00 ,5620.75 ,101,286,12303,46,134,10180
科罗廖夫,4,512,401,1609,3,1,128.00 ,100.25 ,402.25 ,467,319,1309,45,82,300
九品段子手,4,426,850,9904,0,3,106.50 ,212.50 ,2476.00 ,0,0,0,392,633,8119
毒家说,4,1145,3403,22767,1,2,286.25 ,850.75 ,5691.75 ,52,167,658,1064,2960,20616
包纸玩机,4,373,1207,6002,2,1,93.25 ,301.75 ,1500.50 ,298,864,3563,58,264,2215
月光博客,4,523,1487,6317,2,2,130.75 ,371.75 ,1579.25 ,148,562,2608,375,925,3709
Weborntodie,4,4457,1101,15281,4,0,1114.25 ,275.25 ,3820.25 ,4457,1101,15281,0,0,0
一枚搞机的原子弹,4,486,782,3716,4,0,121.50 ,195.50 ,929.00 ,486,782,3716,0,0,0
杨超有个大梦想,4,506,2775,11375,2,1,126.50 ,693.75 ,2843.75 ,476,2253,9510,10,157,756
科技疯报,4,221,1216,8664,1,2,55.25 ,304.00 ,2166.00 ,119,584,3408,40,329,3621
全民图鉴,4,791,1380,11861,2,2,197.75 ,345.00 ,2965.25 ,549,396,3447,242,984,8414
予你一遇,4,10190,2172,64675,4,0,2547.50 ,543.00 ,16168.75 ,10190,2172,64675,0,0,0
FashionSeek,4,5880,8870,12730,4,0,1470.00 ,2217.50 ,3182.50 ,5880,8870,12730,0,0,0
股市女人,4,1184,5174,13547,2,2,296.00 ,1293.50 ,3386.75 ,969,2424,9463,215,2750,4084
潘那白,4,3447,11569,19690,4,0,861.75 ,2892.25 ,4922.50 ,3447,11569,19690,0,0,0
王义博,4,9651,10754,69730,4,0,2412.75 ,2688.50 ,17432.50 ,9651,10754,69730,0,0,0
苏宁,4,12970,6498,283597,4,0,3242.50 ,1624.50 ,70899.25 ,12970,6498,283597,0,0,0
新蜜蜂alex182,3,3560,1247,8641,1,2,1186.67 ,415.67 ,2880.33 ,3347,849,7761,213,398,880
互联网见闻录,3,291,319,1773,3,0,97.00 ,106.33 ,591.00 ,291,319,1773,0,0,0
柴知道,3,745,691,4339,3,0,248.33 ,230.33 ,1446.33 ,745,691,4339,0,0,0
黄生看金融,3,3747,1201,3471,2,1,1249.00 ,400.33 ,1157.00 ,87,121,413,3660,1080,3058
韶倾覆华,3,88,971,1073,0,3,29.33 ,323.67 ,357.67 ,0,0,0,88,971,1073
杜文龙,3,212,522,834,3,0,70.67 ,174.00 ,278.00 ,212,522,834,0,0,0
猴大宝,3,32,303,221,1,2,10.67 ,101.00 ,73.67 ,20,106,125,12,197,96
观视频工作室,3,174,133,405,0,1,58.00 ,44.33 ,135.00 ,0,0,0,10,42,74
阴阳师攻略组,3,53,618,912,2,1,17.67 ,206.00 ,304.00 ,35,395,596,18,223,316
止戈从文,3,488,438,466,2,1,162.67 ,146.00 ,155.33 ,406,287,422,82,151,44
好书天天荐,3,4972,416,463,2,1,1657.33 ,138.67 ,154.33 ,2946,229,291,2026,187,172
杜建国微博,3,838,997,3595,0,3,279.33 ,332.33 ,1198.33 ,0,0,0,838,997,3595
北京鲁戈,3,914,401,1816,3,0,304.67 ,133.67 ,605.33 ,914,401,1816,0,0,0
本元禅师,3,218,445,369,1,1,72.67 ,148.33 ,123.00 ,18,68,79,151,236,144
矿工的风采,3,394,1230,8209,2,1,131.33 ,410.00 ,2736.33 ,294,918,6228,100,312,1981
卢麒元,3,805,329,1434,2,0,268.33 ,109.67 ,478.00 ,769,255,1117,0,0,0
皇城根下刀笔吏,3,1651,1144,9930,2,1,550.33 ,381.33 ,3310.00 ,1518,607,6255,133,537,3675
刹那数码,3,167,790,7727,2,1,55.67 ,263.33 ,2575.67 ,97,405,6741,70,385,986
InfoQ,3,1421,1305,514,3,0,473.67 ,435.00 ,171.33 ,1421,1305,514,0,0,0
大河报,3,151,2079,12532,1,2,50.33 ,693.00 ,4177.33 ,14,76,5864,137,2003,6668
香港文匯網,3,108,108,1399,2,1,36.00 ,36.00 ,466.33 ,54,17,933,54,91,466
察网中国,3,273,132,270,1,2,91.00 ,44.00 ,90.00 ,21,12,57,252,120,213
钛媒体APP,3,1887,771,17825,1,2,629.00 ,257.00 ,5941.67 ,1815,455,10483,72,316,7342
五环短视频,3,539,3699,23486,1,1,179.67 ,1233.00 ,7828.67 ,168,2535,20207,260,815,462
Mr厉害,3,61,487,830,2,1,20.33 ,162.33 ,276.67 ,57,462,738,4,25,92
Master_Maserati,3,78,440,5144,1,0,26.00 ,146.67 ,1714.67 ,8,21,60,0,0,0
微博科技,3,206,784,62446,3,0,68.67 ,261.33 ,20815.33 ,206,784,62446,0,0,0
秒拍,3,741,263,2320,1,0,247.00 ,87.67 ,773.33 ,127,24,76,0,0,0
请叫我夏虫,3,129,848,2312,0,3,43.00 ,282.67 ,770.67 ,0,0,0,129,848,2312
摩卡,3,2929,6861,5538,1,1,976.33 ,2287.00 ,1846.00 ,22,77,88,2781,6195,5238
新周刊,3,4605,29496,498512,1,1,1535.00 ,9832.00 ,166170.67 ,41,45,118,4550,29433,498348
憨熊TheTime,3,2340,3006,8811,1,2,780.00 ,1002.00 ,2937.00 ,35,461,637,2305,2545,8174
北京人不知道的北京事儿,3,5883,5333,9708,2,1,1961.00 ,1777.67 ,3236.00 ,2802,537,5778,3081,4796,3930
1818黄金眼,3,113,898,1895,2,1,37.67 ,299.33 ,631.67 ,38,593,392,75,305,1503
欧阳潼舢,3,3597,2744,4442,3,0,1199.00 ,914.67 ,1480.67 ,3597,2744,4442,0,0,0
呆十三,3,4672,6754,13143,3,0,1557.33 ,2251.33 ,4381.00 ,4672,6754,13143,0,0,0
侯宁,3,264,482,1273,1,2,88.00 ,160.67 ,424.33 ,13,12,50,251,470,1223
史小千,3,332,632,2439,2,1,110.67 ,210.67 ,813.00 ,223,174,1722,109,458,717
荣耀手机,3,6212,5826,12376,2,1,2070.67 ,1942.00 ,4125.33 ,4662,3581,11794,1550,2245,582
J-格里芬先生,3,1231,1728,7431,1,2,410.33 ,576.00 ,2477.00 ,134,695,867,1097,1033,6564
阿声大魔王,3,125,681,6564,1,2,41.67 ,227.00 ,2188.00 ,16,27,66,109,654,6498
邢立达,3,184,893,5650,1,1,61.33 ,297.67 ,1883.33 ,128,323,2633,36,412,2377
H_花花玩家,3,44,457,1148,3,0,14.67 ,152.33 ,382.67 ,44,457,1148,0,0,0
中国妇女报,3,4665,684,5162,2,1,1555.00 ,228.00 ,1720.67 ,4649,668,5091,16,16,71
实时星闻,3,810,2439,27672,3,0,270.00 ,813.00 ,9224.00 ,810,2439,27672,0,0,0
知乎,3,2083,1822,1230,1,2,694.33 ,607.33 ,410.00 ,674,492,581,1409,1330,649
中国大学生在线,3,5020,3966,4562,2,1,1673.33 ,1322.00 ,1520.67 ,4750,3788,1597,270,178,2965
北京塞冬,3,1147,667,3092,3,0,382.33 ,222.33 ,1030.67 ,1147,667,3092,0,0,0
ba哥专用,3,2289,2283,12991,2,1,763.00 ,761.00 ,4330.33 ,1830,1625,2837,459,658,10154
华为王成录,3,3107,1989,1244,3,0,1035.67 ,663.00 ,414.67 ,3107,1989,1244,0,0,0
江苏网警,3,641,506,1243,1,2,213.67 ,168.67 ,414.33 ,198,369,750,443,137,493
手机中国,3,2479,3101,2599,3,0,826.33 ,1033.67 ,866.33 ,2479,3101,2599,0,0,0
悉尼顾俊,3,65,414,2371,3,0,21.67 ,138.00 ,790.33 ,65,414,2371,0,0,0
金山二姐,3,163,348,2675,1,1,54.33 ,116.00 ,891.67 ,54,111,1238,42,53,124
钟恩淇,3,166,26981,19478,3,0,55.33 ,8993.67 ,6492.67 ,166,26981,19478,0,0,0
小祥啰啰嗦,3,180,544,659,3,0,60.00 ,181.33 ,219.67 ,180,544,659,0,0,0
图虫摄影网,3,60,24,286,2,1,20.00 ,8.00 ,95.33 ,55,22,245,5,2,41
Eva的科技生活,3,401,527,1549,2,1,133.67 ,175.67 ,516.33 ,311,339,1106,90,188,443
YouTube精选,3,2841,1486,4905,1,2,947.00 ,495.33 ,1635.00 ,725,619,725,2116,867,4180
科普君XueShu雪树,3,3236,2321,2777,3,0,1078.67 ,773.67 ,925.67 ,3236,2321,2777,0,0,0
笑成沙雕了,3,1525,987,7296,3,0,508.33 ,329.00 ,2432.00 ,1525,987,7296,0,0,0
鹅组兔区爆料,3,2185,2185,23258,2,0,728.33 ,728.33 ,7752.67 ,462,730,5344,0,0,0
叶檀,3,392,776,2020,1,2,130.67 ,258.67 ,673.33 ,14,100,497,378,676,1523
外交部发言人办公室,3,480,731,9167,2,1,160.00 ,243.67 ,3055.67 ,117,172,2358,363,559,6809
甲历史,3,1167,5480,17812,3,0,389.00 ,1826.67 ,5937.33 ,1167,5480,17812,0,0,0
黑夜之睛滚雪球,3,733,979,6774,1,2,244.33 ,326.33 ,2258.00 ,343,166,1278,390,813,5496
宇辉战舰,3,128,155,924,3,0,42.67 ,51.67 ,308.00 ,128,155,924,0,0,0
北京青年报,3,221,178,18323,3,0,73.67 ,59.33 ,6107.67 ,221,178,18323,0,0,0
朱笑三,3,2199,1489,6119,2,1,733.00 ,496.33 ,2039.67 ,1941,155,2324,258,1334,3795
数码君,3,397,1402,110471,1,2,132.33 ,467.33 ,36823.67 ,162,479,37573,235,923,72898
申典启,3,120,425,2867,2,1,40.00 ,141.67 ,955.67 ,79,314,1921,41,111,946
数码疯报,3,57,913,2249,2,0,19.00 ,304.33 ,749.67 ,24,434,1158,0,0,0
寂寞嫦娥舒广袖,3,264,1246,3817,2,1,88.00 ,415.33 ,1272.33 ,231,1042,3062,33,204,755
楚天都市报,3,2334,5620,109017,3,0,778.00 ,1873.33 ,36339.00 ,2334,5620,109017,0,0,0
IT小莫,3,315,2480,1563,3,0,105.00 ,826.67 ,521.00 ,315,2480,1563,0,0,0
茂哥日记,3,333,627,3133,2,1,111.00 ,209.00 ,1044.33 ,120,178,650,213,449,2483
天眼查,3,1248,1451,11048,2,1,416.00 ,483.67 ,3682.67 ,820,1000,7532,428,451,3516
华为心声社区,3,2026,207,1898,3,0,675.33 ,69.00 ,632.67 ,2026,207,1898,0,0,0
一张杨晗,3,1415,2699,8450,3,0,471.67 ,899.67 ,2816.67 ,1415,2699,8450,0,0,0
股道热肠也,3,1373,1280,4684,2,1,457.67 ,426.67 ,1561.33 ,857,1144,4149,516,136,535
笑部长,3,4079,4100,54841,0,3,1359.67 ,1366.67 ,18280.33 ,0,0,0,4079,4100,54841
三联生活周刊,3,430,378,1084,2,1,143.33 ,126.00 ,361.33 ,410,365,976,20,13,108
fenibook,3,268,584,2800,0,3,89.33 ,194.67 ,933.33 ,0,0,0,268,584,2800
牙疼老爷爷,3,192,171,1763,3,0,64.00 ,57.00 ,587.67 ,192,171,1763,0,0,0
程远Cherio,3,200,1432,8119,2,0,66.67 ,477.33 ,2706.33 ,140,575,3893,0,0,0
蜀黍都笑湿了,3,314,272,3585,0,3,104.67 ,90.67 ,1195.00 ,0,0,0,314,272,3585
笑点菌,3,808,428,11679,0,3,269.33 ,142.67 ,3893.00 ,0,0,0,808,428,11679
烊家军,3,867,609,4014,3,0,289.00 ,203.00 ,1338.00 ,867,609,4014,0,0,0
胡永平,3,120,840,2383,2,1,40.00 ,280.00 ,794.33 ,96,358,1315,24,482,1068
看糊逼多跳脚就知道千玺有多火,3,4077,1619,6097,2,1,1359.00 ,539.67 ,2032.33 ,4042,1491,5352,35,128,745
壹小寒,3,2548,3740,39001,2,1,849.33 ,1246.67 ,13000.33 ,2427,3690,38709,121,50,292
南京发布,3,33,112,5574,2,1,11.00 ,37.33 ,1858.00 ,26,35,2083,7,77,3491
神奇的大冬瓜,3,200,417,1318,2,1,66.67 ,139.00 ,439.33 ,174,223,741,26,194,577
Allen小小小小号,3,303,352,2780,3,0,101.00 ,117.33 ,926.67 ,303,352,2780,0,0,0
熊姐,3,107,608,41855,0,2,35.67 ,202.67 ,13951.67 ,0,0,0,89,405,12939
千家无名氏,3,3449,1625,4250,3,0,1149.67 ,541.67 ,1416.67 ,3449,1625,4250,0,0,0
吉川流,3,14069,3602,25927,3,0,4689.67 ,1200.67 ,8642.33 ,14069,3602,25927,0,0,0
全球奇葩事,3,240,941,7729,0,3,80.00 ,313.67 ,2576.33 ,0,0,0,240,941,7729
小白撩机,3,101,1298,5929,1,1,33.67 ,432.67 ,1976.33 ,16,154,1111,32,624,1943
喊我豆奶酱,3,203,440,6997,2,1,67.67 ,146.67 ,2332.33 ,58,266,5057,145,174,1940
芒果娱乐,3,3439,1873,12095,3,0,1146.33 ,624.33 ,4031.67 ,3439,1873,12095,0,0,0
星闻揭秘,3,3213,1470,6143,2,1,1071.00 ,490.00 ,2047.67 ,2372,809,4398,841,661,1745
任平生日记,3,326,582,2760,2,0,108.67 ,194.00 ,920.00 ,226,151,384,0,0,0
吃瓜鹅每日搬,3,1156,2865,110079,2,1,385.33 ,955.00 ,36693.00 ,956,2101,108680,200,764,1399
刘哔电影,3,46596,16142,70365,3,0,15532.00 ,5380.67 ,23455.00 ,46596,16142,70365,0,0,0
阿宽akuan,3,267,2387,6081,2,1,89.00 ,795.67 ,2027.00 ,201,1293,3600,66,1094,2481
勺芭儿卷,3,41,80,2468,3,0,13.67 ,26.67 ,822.67 ,41,80,2468,0,0,0
回忆专用小马甲,3,2863,2084,5685,3,0,954.33 ,694.67 ,1895.00 ,2863,2084,5685,0,0,0
李牧,3,419,1309,8417,2,1,139.67 ,436.33 ,2805.67 ,298,471,3242,121,838,5175
TESTV-配音君,3,77,979,3832,1,1,25.67 ,326.33 ,1277.33 ,26,216,748,46,710,1530
毒舌数码,3,469,4018,27188,2,1,156.33 ,1339.33 ,9062.67 ,35,315,4116,434,3703,23072
老爆科技,3,490,1806,4498,2,1,163.33 ,602.00 ,1499.33 ,482,1646,4259,8,160,239
黑猫的黑,3,8933,5484,51651,2,0,2977.67 ,1828.00 ,17217.00 ,6177,3621,28959,0,0,0
全球奇闻微爆光,3,374,662,3143,3,0,124.67 ,220.67 ,1047.67 ,374,662,3143,0,0,0
FashionMarks,3,5784,5987,14159,3,0,1928.00 ,1995.67 ,4719.67 ,5784,5987,14159,0,0,0
Lin张林超,3,397,1124,2563,3,0,132.33 ,374.67 ,854.33 ,397,1124,2563,0,0,0
南风不减似狂年,3,3460,1308,1556,3,0,1153.33 ,436.00 ,518.67 ,3460,1308,1556,0,0,0
逛大牌,2,11,206,517,2,0,5.50 ,103.00 ,258.50 ,11,206,517,0,0,0
doinb金咕咕,2,15,319,2005,2,0,7.50 ,159.50 ,1002.50 ,15,319,2005,0,0,0
不太老,2,360,129,201,1,1,180.00 ,64.50 ,100.50 ,45,28,123,315,101,78
谦卑侯爷,2,90,170,101,0,2,45.00 ,85.00 ,50.50 ,0,0,0,90,170,101
网易新闻客户端,2,388,358,166,0,2,194.00 ,179.00 ,83.00 ,0,0,0,388,358,166
醒来的大鸦,2,170,97,152,1,1,85.00 ,48.50 ,76.00 ,104,39,84,66,58,68
青春娱乐网,2,4108,2084,4643,1,1,2054.00 ,1042.00 ,2321.50 ,2869,1130,2544,1239,954,2099
营养师顾中一,2,51,474,643,2,0,25.50 ,237.00 ,321.50 ,51,474,643,0,0,0
嘿丝科技,2,94,145,225,1,0,47.00 ,72.50 ,112.50 ,20,62,143,0,0,0
种草小海龟,2,64,1263,23876,2,0,32.00 ,631.50 ,11938.00 ,64,1263,23876,0,0,0
Houson猴姆,2,3019,863,1802,2,0,1509.50 ,431.50 ,901.00 ,3019,863,1802,0,0,0
重庆山城山大王,2,384,192,650,2,0,192.00 ,96.00 ,325.00 ,384,192,650,0,0,0
种草小布,2,10,128,273,1,1,5.00 ,64.00 ,136.50 ,4,75,161,6,53,112
差评君,2,502,552,4198,1,1,251.00 ,276.00 ,2099.00 ,495,503,4132,7,49,66
快手网红故事,2,12,2052,2957,2,0,6.00 ,1026.00 ,1478.50 ,12,2052,2957,0,0,0
钱江晚报,2,213,852,3018,2,0,106.50 ,426.00 ,1509.00 ,213,852,3018,0,0,0
哈尔滨身边事,2,45,229,215,1,1,22.50 ,114.50 ,107.50 ,37,81,165,8,148,50
马喆Ma_zhe,2,55,69,271,0,2,27.50 ,34.50 ,135.50 ,0,0,0,55,69,271
全球IT数码排行榜,2,560,411,1037,2,0,280.00 ,205.50 ,518.50 ,560,411,1037,0,0,0
六安身边事,2,1262,1493,4177,2,0,631.00 ,746.50 ,2088.50 ,1262,1493,4177,0,0,0
成都高新,2,78,61,35,2,0,39.00 ,30.50 ,17.50 ,78,61,35,0,0,0
千玺梨涡里躺着的炸炸,2,63,155,515,2,0,31.50 ,77.50 ,257.50 ,63,155,515,0,0,0
紫荆树,2,167,377,338,1,1,83.50 ,188.50 ,169.00 ,102,247,272,65,130,66
椒江叶Sir,2,1649,1186,899,2,0,824.50 ,593.00 ,449.50 ,1649,1186,899,0,0,0
娱乐圈神评,2,7522,5141,31660,2,0,3761.00 ,2570.50 ,15830.00 ,7522,5141,31660,0,0,0
小智在那美克星,2,463,405,465,1,1,231.50 ,202.50 ,232.50 ,69,143,268,394,262,197
搜狐新闻,2,657,763,278,1,1,328.50 ,381.50 ,139.00 ,421,393,146,236,370,132
武力统一,2,74,7,62,2,0,37.00 ,3.50 ,31.00 ,74,7,62,0,0,0
易烊千玺重庆粉丝团,2,604,174,772,2,0,302.00 ,87.00 ,386.00 ,604,174,772,0,0,0
互联网分析沙龙,2,159,9,142,2,0,79.50 ,4.50 ,71.00 ,159,9,142,0,0,0
京东手机通讯,2,2911,2273,1239,2,0,1455.50 ,1136.50 ,619.50 ,2911,2273,1239,0,0,0
读书邮箱,2,4185,288,332,1,1,2092.50 ,144.00 ,166.00 ,2068,76,168,2117,212,164
林明正-台灣,2,31,260,717,0,1,15.50 ,130.00 ,358.50 ,0,0,0,22,140,272
济南生活,2,119,316,1266,2,0,59.50 ,158.00 ,633.00 ,119,316,1266,0,0,0
正和岛标准,2,117,59,65,2,0,58.50 ,29.50 ,32.50 ,117,59,65,0,0,0
深圳商报,2,33,120,250,1,1,16.50 ,60.00 ,125.00 ,8,10,165,25,110,85
猫扑,2,4638,3653,2307,2,0,2319.00 ,1826.50 ,1153.50 ,4638,3653,2307,0,0,0
木浮生,2,32,353,1558,2,0,16.00 ,176.50 ,779.00 ,32,353,1558,0,0,0
毛丹青,2,84,124,702,2,0,42.00 ,62.00 ,351.00 ,84,124,702,0,0,0
George-瓜瓜,2,185,1478,2111,1,0,92.50 ,739.00 ,1055.50 ,87,92,123,0,0,0
祖國是大陸,2,25,215,265,1,1,12.50 ,107.50 ,132.50 ,5,108,83,20,107,182
蒋丰,2,182,167,294,1,1,91.00 ,83.50 ,147.00 ,43,45,129,139,122,165
娱圈欧巴,2,160,68,1838,2,0,80.00 ,34.00 ,919.00 ,160,68,1838,0,0,0
何新老家伙,2,805,0,1012,0,2,402.50 ,0.00 ,506.00 ,0,0,0,805,0,1012
华为智选,2,410,341,202,2,0,205.00 ,170.50 ,101.00 ,410,341,202,0,0,0
麻辣小移妹,2,6151,6419,2294,2,0,3075.50 ,3209.50 ,1147.00 ,6151,6419,2294,0,0,0
商界BUSINESS,2,176,42,210,1,1,88.00 ,21.00 ,105.00 ,54,34,128,122,8,82
素七说,2,366,452,2191,1,1,183.00 ,226.00 ,1095.50 ,148,172,207,218,280,1984
饭圈少女,2,1259,1193,7475,2,0,629.50 ,596.50 ,3737.50 ,1259,1193,7475,0,0,0
娱乐扒掌柜,2,1869,1625,2629,2,0,934.50 ,812.50 ,1314.50 ,1869,1625,2629,0,0,0
北欧十度以内的气温,2,278,75,510,2,0,139.00 ,37.50 ,255.00 ,278,75,510,0,0,0
韩景枫51KING,2,85,383,2086,2,0,42.50 ,191.50 ,1043.00 ,85,383,2086,0,0,0
JohnRoss431,2,431,103,607,2,0,215.50 ,51.50 ,303.50 ,431,103,607,0,0,0
我的偶像是二哔,2,4761,4180,14554,2,0,2380.50 ,2090.00 ,7277.00 ,4761,4180,14554,0,0,0
知识分子,2,986,1416,1917,2,0,493.00 ,708.00 ,958.50 ,986,1416,1917,0,0,0
